구분,지정번호,업체명,매장명,지정기간
대형,제001호,이마트,성수점,2020-11-14 ~ 2023-11-13
대형,제002호,이마트,연수점,2020-11-14 ~ 2023-11-13
대형,제003호,이마트,고잔점,2020-11-14 ~ 2023-11-13
대형,제004호,이마트,산본점,2020-11-14 ~ 2023-11-13
대형,제013호,갤러리아백화점,타임월드점,2020-11-14 ~ 2023-11-13
대형,제014호,갤러리아백화점,센터시티점,2020-11-14 ~ 2023-11-13
대형,제016호,갤러리아백화점,명품관,2020-11-14 ~ 2023-11-13
대형,제028호,이마트,가양점,2020-12-27 ~ 2023-12-26
대형,제029호,이마트,광명소하점,2020-12-27 ~ 2023-12-26
대형,제030호,이마트,서수원점,2020-12-27 ~ 2023-12-26
대형,제031호,이마트,성남점,2020-12-27 ~ 2023-12-26
대형,제032호,이마트,영등포점,2020-12-27 ~ 2023-12-26
대형,제033호,이마트,은평점,2020-12-27 ~ 2023-12-26
대형,제034호,이마트,제천점,2020-12-27 ~ 2023-12-26
대형,제035호,이마트,중동점,2020-12-27 ~ 2023-12-26
대형,제036호,이마트,청계천점,2020-12-27 ~ 2023-12-26
대형,제041호,이마트,성서점,2021-03-01 ~ 2024-02-28
대형,제042호,이마트,화정점,2021-03-01 ~ 2024-02-28
대형,제043호,롯데마트,마석점,2021-03-01 ~ 2024-02-28
대형,제047호,롯데마트,사상점,2021-05-30 ~ 2024-05-29
대형,제048호,이마트,보령점,2021-05-30 ~ 2024-05-29
대형,제049호,이마트,울산점,2021-05-30 ~ 2024-05-29
대형,제050호,롯데마트,동두천점,2021-05-30 ~ 2024-05-29
대형,제051호,롯데마트,(전주)송천점,2021-05-30 ~ 2024-05-29
대형,제052호,롯데마트,전주점,2021-05-30 ~ 2024-05-29
대형,제054호,롯데마트,진장점,2021-05-30 ~ 2024-05-29
대형,제055호,롯데마트,구미점,2021-05-30 ~ 2024-05-29
대형,제057호,롯데마트,동래점,2021-05-30 ~ 2024-05-29
대형,제060호,롯데마트,웅상점,2021-05-30 ~ 2024-05-29
대형,제061호,롯데마트,여수점,2021-11-09 ~ 2024-11-08
대형,제062호,갤러리아백화점,진주점,2021-11-09 ~ 2024-11-08
대형,제063호,이마트,남양주점,2021-11-09 ~ 2024-11-08
대형,제064호,이마트,만촌점,2021-11-09 ~ 2024-11-08
대형,제065호,이마트,반야월점,2021-11-09 ~ 2024-11-08
대형,제066호,이마트,상봉점,2021-11-09 ~ 2024-11-08
대형,제067호,이마트,수지점,2021-11-09 ~ 2024-11-08
대형,제068호,이마트,여주점,2021-11-09 ~ 2024-11-08
대형,제070호,이마트,죽전점,2021-11-09 ~ 2024-11-08
대형,제071호,이마트,흥덕점,2021-11-09 ~ 2024-11-08
대형,제072호,이마트,구미점,2021-11-09 ~ 2024-11-08
중소형,제076호,초록마을,개포직영점,2021-12-13-~2024-12-12
중소형,제078호,초록마을,동백직영점,2021-12-13-~2024-12-12
중소형,제079호,초록마을,보정직영점,2021-12-13-~2024-12-12
중소형,제082호,초록마을,신천역직영점,2021-12-13-~2024-12-12
중소형,제085호,초록마을,잠실나루역직영점,2021-12-13-~2024-12-12
중소형,제087호,초록마을,토평직영점,2021-12-13-~2024-12-12
중소형,제088호,초록마을,화정직영점,2021-12-13-~2024-12-12
대형,제090호,롯데마트,덕소점,2021-12-13 ~ 2024-12-12
대형,제091호,롯데마트,삼산점,2021-12-13 ~ 2024-12-12
대형,제092호,롯데마트,오산점,2021-12-13 ~ 2024-12-12
대형,제100호,롯데마트,김포공항점,2021-12-13 ~ 2024-12-12
대형,제101호,롯데마트,대덕점,2021-12-13 ~ 2024-12-12
대형,제105호,이마트,월배점,2022-02-28 ~ 2025-02-27
대형,제106호,이마트,목동점,2022-02-28 ~ 2025-02-27
중소형,제111호,초록마을,옥수점,2022-05-29 ~ 2025-05-28
중소형,제112호,초록마을,정자카페거리점,2022-05-29 ~ 2025-05-28
중소형,제131호,초록마을,광장직영점,2022-10-08 ~ 2025-10-07
중소형,제132호,초록마을,귀인직영점,2022-10-08 ~ 2025-10-07
중소형,제133호,초록마을,길음직영점,2022-10-08 ~ 2025-10-07
